forecast_date,target,target_end_date,location,type,quantile,value
2020-11-08,1 wk ahead cum death,2020-11-14,North Carolina,point,,4825
2020-11-08,1 wk ahead cum death,2020-11-14,North Dakota,point,,710
2020-11-08,1 wk ahead cum death,2020-11-14,Ohio,point,,5702
2020-11-08,1 wk ahead cum death,2020-11-14,Oklahoma,point,,1540
2020-11-08,1 wk ahead cum death,2020-11-14,Oregon,point,,784
2020-11-08,1 wk ahead cum death,2020-11-14,Pennsylvania,point,,9180
2020-11-08,1 wk ahead cum death,2020-11-14,Rhode Island,point,,1246
2020-11-08,1 wk ahead cum death,2020-11-14,South Carolina,point,,4125
2020-11-08,1 wk ahead cum death,2020-11-14,South Dakota,point,,616
2020-11-08,1 wk ahead cum death,2020-11-14,Tennessee,point,,3803
2020-11-08,1 wk ahead cum death,2020-11-14,Texas,point,,19645
2020-11-08,1 wk ahead cum death,2020-11-14,Utah,point,,727
2020-11-08,1 wk ahead cum death,2020-11-14,Vermont,point,,69
2020-11-08,1 wk ahead cum death,2020-11-14,Virginia,point,,3849
2020-11-08,1 wk ahead cum death,2020-11-14,Washington,point,,2512
2020-11-08,1 wk ahead cum death,2020-11-14,West Virginia,point,,559
2020-11-08,1 wk ahead cum death,2020-11-14,Wisconsin,point,,2579
2020-11-08,1 wk ahead cum death,2020-11-14,Wyoming,point,,137
2020-11-15,1 wk ahead cum death,2020-11-21,US,point,,253587
2020-11-15,1 wk ahead cum death,2020-11-21,Alabama,point,,3384
2020-11-15,1 wk ahead cum death,2020-11-21,Alaska,point,,145
2020-11-15,1 wk ahead cum death,2020-11-21,Arizona,point,,6431
2020-11-15,1 wk ahead cum death,2020-11-21,Arkansas,point,,2293
2020-11-15,1 wk ahead cum death,2020-11-21,California,point,,18598
2020-11-15,1 wk ahead cum death,2020-11-21,Colorado,point,,2691
2020-11-15,1 wk ahead cum death,2020-11-21,Connecticut,point,,4799
2020-11-15,1 wk ahead cum death,2020-11-21,Delaware,point,,752
2020-11-15,1 wk ahead cum death,2020-11-21,,point,,668
2020-11-15,1 wk ahead cum death,2020-11-21,Florida,point,,17823
2020-11-15,1 wk ahead cum death,2020-11-21,Georgia,point,,9394
2020-11-15,1 wk ahead cum death,2020-11-21,Hawaii,point,,233
2020-11-15,1 wk ahead cum death,2020-11-21,Idaho,point,,847
2020-11-15,1 wk ahead cum death,2020-11-21,Illinois,point,,11624
2020-11-15,1 wk ahead cum death,2020-11-21,Indiana,point,,5162
2020-11-15,1 wk ahead cum death,2020-11-21,Iowa,point,,2197
2020-11-15,1 wk ahead cum death,2020-11-21,Kansas,point,,1342
2020-11-15,1 wk ahead cum death,2020-11-21,Kentucky,point,,1821
2020-11-15,1 wk ahead cum death,2020-11-21,Louisiana,point,,6201
2020-11-15,1 wk ahead cum death,2020-11-21,Maine,point,,180
2020-11-15,1 wk ahead cum death,2020-11-21,Maryland,point,,4367
